URI	REG_MESO	aRegion	TR	SEARCH	EN	TYPE	LON	LAT	AR	AR_Alt	AR_Sort	AMBIG	TRUETOP	TOPO
ABADHA_526E311N_S	Fars_RE	SW_Iran_MR	Ābāḏaŧ	Abadha|Arjuman		towns	52.66127	31.1643	آباذة	آباذة|أرجمان	اباذة	0	0	اباذة
ABADHA_537E297N_S	Fars_RE	SW_Iran_MR	Ābāḏaŧ	Abadha		towns	53.73617	29.7821	آباذة	آباذة	اباذة	0	0	اباذة
ABAN_552E308N_S	Fars_RE	SW_Iran_MR	Abān	Aban		towns	55.25395	30.88547	أبان	أبان	ابان	0	0	ابان
ABAR_782E284N_S	Sind_RE	SE_Iran_MR	Abār	Abar		towns	78.2144	28.46951	أبار	أبار	ابار	0	0	ابار
ABARKATH_673E397N_S	Mawarannahr_RE	Mawarannahr_MR	Abārkaṯ	Abarkath|Barkath		capitals	67.38308	39.79611	أباركث	أباركث|بركاث	اباركث	0	1	اباركث
ABARQUH_532E311N_S	Fars_RE	SW_Iran_MR	Abarqūh	Abarquh		towns	53.25737	31.15094	أبرقوه	أبرقوه	ابرقوه	0	0	ابرقوه
ABARTA_449E332N_S	Iraq_RE	Iraq_MR	ʿAbartā	Abarta		towns	44.93375	33.20675	عبرتا	عبرتا	عبرتا	0	0	عبرتا
ABASKUN_540E370N_S	Daylam_RE	NW_Iran_MR	Ābaskūn	Abaskun		towns	54.04327	37.02772	آبسكون	آبسكون	ابسكون	0	0	ابسكون
ABBADAN_482E303N_S	Iraq_RE	Iraq_MR	ʿAbbādān	Abbadan		towns	48.27394	30.33563	عبادان	عبادان	عبادان	0	0	عبادان
ABBASIYYA_317E305N_S	Misr_RE	Misr_MR	al-ʿAbbāsiyyaŧ	al-Abbasiyya		towns	31.70644	30.53647	العباسية	العباسية|العباسة	عباسية	0	0	العباسية
ABDAS_473E314N_S	Iraq_RE	Iraq_MR	ʿAbdās	Abdas		towns	47.33731	31.46283	عبداس	عبداس	عبداس	0	0	عبداس
ABDIN_493E312N_S	Khuzistan_RE	SW_Iran_MR	ʿAbdīn	Abdin		waystations	49.31456	31.22889	عبدين	عبدين	عبدين	0	0	عبدين
ABHAR_492E361N_S	Jibal_RE	NW_Iran_MR	Abhar	Abhar		towns	49.23473	36.15722	أبهر	أبهر	ابهر	0	0	ابهر
