BIO	TOPO	TYPE
TI000047	50	DEATH_AH
TI000047	NoToponym	TOPO_NO
TI000048	50	DEATH_AH
TI000048	البصرة	TOPO_PR
TI000048	30.53302@47.79747	TOID_PR
TI000049	50	DEATH_AH
TI000049	NoToponym	TOPO_NO
TI000050	50	DEATH_AH
TI000050	NoToponym	TOPO_NO
TI000051	50	DEATH_AH
TI000051	البصرة	TOPO_PR
TI000051	30.53302@47.79747	TOID_PR
TI000052	50	DEATH_AH
TI000052	الحجاز	TOPO_SE
TI000052	23.285756@39.572754	TOID_SE
TI000052	البصرة	TOPO_PR
TI000052	30.53302@47.79747	TOID_PR
TI000052	اليمن	TOPO_SE
TI000052	14.953277@44.868164	TOID_SE
TI000053	50	DEATH_AH
TI000053	الشام	TOPO_PR
TI000053	34.672973@37.155762	TOID_PR
TI000053	الروم	TOPO_SE
TI000053	39.201611@33.991699	TOID_SE
TI000054	50	DEATH_AH
TI000054	مصر	TOPO_PR
TI000054	30.08383@31.231384	TOID_PR
TI000054	افريقية	TOPO_SE
TI000054	35.109125@9.624023	TOID_SE
TI000055	50	DEATH_AH
TI000055	الروم	TOPO_PR
TI000055	39.201611@33.991699	TOID_PR
TI000056	50	DEATH_AH
TI000056	NoToponym	TOPO_NO
TI000057	50	DEATH_AH
TI000057	NoToponym	TOPO_NO
TI000058	50	DEATH_AH
TI000058	NoToponym	TOPO_NO
TI000059	50	DEATH_AH
TI000059	ارمينية	TOPO_PR
TI000059	40.014153@43.791504	TOID_PR
TI000060	50	DEATH_AH
TI000060	ارمينية	TOPO_SE
TI000060	40.014153@43.791504	TOID_SE
TI000060	اليمن	TOPO_PR
TI000060	14.953277@44.868164	TOID_PR
TI000060	الكوفة	TOPO_SE
TI000060	32.03472@44.40333	TOID_SE
TI000061	50	DEATH_AH
TI000061	ريدة	TOPO_SE
TI000061	15.81421@44.04085	TOID_SE
TI000061	الحجاز	TOPO_SE
TI000061	23.285756@39.572754	TOID_SE
TI000061	الكوفة	TOPO_SE
TI000061	32.03472@44.40333	TOID_SE
TI000061	المدينة	TOPO_SE
TI000061	24.46861@39.61417	TOID_SE
TI000061	السند	TOPO_PR
TI000061	27.023899@68.444824	TOID_PR
TI000061	مكة	TOPO_SE
TI000061	21.416667@39.816667	TOID_SE
TI000061	الجبال	TOPO_SE
TI000061	35.607292@48.449707	TOID_SE
TI000062	50	DEATH_AH
TI000062	مرو	TOPO_SE
TI000062	37.662631@62.191501	TOID_SE
TI000062	البصرة	TOPO_PR
TI000062	30.53302@47.79747	TOID_PR
TI000062	خراسان	TOPO_SE
TI000062	36.564365@58.831787	TOID_SE
TI000063	50	DEATH_AH
TI000063	المدينة	TOPO_PR
TI000063	24.46861@39.61417	TOID_PR
TI000064	50	DEATH_AH
TI000064	قرقيسياء	TOPO_SE
TI000064	35.15579@40.42555	TOID_SE
TI000064	الكوفة	TOPO_PR
TI000064	32.03472@44.40333	TOID_PR
TI000065	50	DEATH_AH
TI000065	الرقة	TOPO_PR
TI000065	35.95283@39.00788	TOID_PR
TI000066	50	DEATH_AH
TI000066	المزة	TOPO_PR
TI000066	33.503056@36.258333	TOID_PR
TI000067	50	DEATH_AH
TI000067	مكة	TOPO_PR
TI000067	21.416667@39.816667	TOID_PR
TI000067	المدينة	TOPO_SE
TI000067	24.46861@39.61417	TOID_SE
TI000068	50	DEATH_AH
TI000068	مصر	TOPO_PR
TI000068	30.08383@31.231384	TOID_PR
TI000068	برقة	TOPO_SE
TI000068	31.990374@20.264282	TOID_SE
TI000068	افريقية	TOPO_SE
TI000068	35.109125@9.624023	TOID_SE
TI000069	50	DEATH_AH
TI000069	مكة	TOPO_SE
TI000069	21.416667@39.816667	TOID_SE
TI000069	حضرموت	TOPO_PR
TI000069	16.391824@49.350586	TOID_PR
TI000070	50	DEATH_AH
TI000070	دارا	TOPO_SE
TI000070	37.177702@40.952826	TOID_SE
TI000070	المدينة	TOPO_PR
TI000070	24.46861@39.61417	TOID_PR
TI000071	50	DEATH_AH
TI000071	الزهراء	TOPO_PR
TI000071	37.888029@-4.867787	TOID_PR
TI000072	50	DEATH_AH
TI000072	NoToponym	TOPO_NO
TI000073	50	DEATH_AH
TI000073	الطائف	TOPO_PR
TI000073	21.27028@40.41583	TOID_PR
TI000074	50	DEATH_AH
TI000074	بعلبك	TOPO_PR
TI000074	34.00583@36.21806	TOID_PR
TI000075	50	DEATH_AH
TI000075	NoToponym	TOPO_NO
TI000076	50	DEATH_AH
TI000076	المدينة	TOPO_PR
TI000076	24.46861@39.61417	TOID_PR
TI000077	50	DEATH_AH
TI000077	NoToponym	TOPO_NO
TI000078	50	DEATH_AH
TI000078	الشام	TOPO_PR
TI000078	34.672973@37.155762	TOID_PR
TI000079	50	DEATH_AH
TI000079	NoToponym	TOPO_NO
TI000080	50	DEATH_AH
TI000080	المدينة	TOPO_PR
TI000080	24.46861@39.61417	TOID_PR
TI000081	50	DEATH_AH
TI000081	الهاشمية	TOPO_PR
TI000081	32.37447@44.65709	TOID_PR
TI000082	50	DEATH_AH
TI000082	NoToponym	TOPO_NO
TI000083	50	DEATH_AH
TI000083	مصر	TOPO_PR
TI000083	30.08383@31.231384	TOID_PR
TI000084	50	DEATH_AH
TI000084	البصرة	TOPO_SE
TI000084	30.53302@47.79747	TOID_SE
TI000084	المدينة	TOPO_PR
TI000084	24.46861@39.61417	TOID_PR
TI000084	القدس	TOPO_SE
TI000084	31.76904@35.21633	TOID_SE
TI000085	50	DEATH_AH
TI000085	NoToponym	TOPO_NO
TI000086	50	DEATH_AH
TI000086	الروم	TOPO_SE
TI000086	39.201611@33.991699	TOID_SE
TI000086	حمص	TOPO_PR
TI000086	34.72682@36.72339	TOID_PR
TI000087	50	DEATH_AH
TI000087	سجستان	TOPO_SE
TI000087	31.244743@63.303223	TOID_SE
TI000087	البصرة	TOPO_PR
TI000087	30.53302@47.79747	TOID_PR
TI000088	50	DEATH_AH
TI000088	الكوفة	TOPO_PR
TI000088	32.03472@44.40333	TOID_PR
TI000089	50	DEATH_AH
TI000089	دمشق	TOPO_PR
TI000089	33.511603@36.306633	TOID_PR
TI000089	الاسكندرية	TOPO_SE
TI000089	31.21564@29.95527	TOID_SE
TI000089	المدينة	TOPO_SE
TI000089	24.46861@39.61417	TOID_SE
TI000089	مصر	TOPO_SE
TI000089	30.08383@31.231384	TOID_SE
TI000090	50	DEATH_AH
TI000090	العراق	TOPO_PR
TI000090	32.270413@45.032959	TOID_PR
TI000091	50	DEATH_AH
TI000091	مكة	TOPO_PR
TI000091	21.416667@39.816667	TOID_PR
TI000092	50	DEATH_AH
TI000092	العراق	TOPO_PR
TI000092	32.270413@45.032959	TOID_PR
TI000093	50	DEATH_AH
TI000093	NoToponym	TOPO_NO
TI000094	50	DEATH_AH
TI000094	المدينة	TOPO_PR
TI000094	24.46861@39.61417	TOID_PR
TI000095	50	DEATH_AH
TI000095	الموصل	TOPO_SE
TI000095	36.335@43.11889	TOID_SE
TI000095	الجزيرة	TOPO_PR
TI000095	36.582011@42.484131	TOID_PR
TI000095	الكوفة	TOPO_SE
TI000095	32.03472@44.40333	TOID_SE
TI000096	50	DEATH_AH
TI000096	مكة	TOPO_SE
TI000096	21.416667@39.816667	TOID_SE
TI000096	فلسطين	TOPO_SE
TI000096	31.756663@35.191956	TOID_SE
TI000096	الشام	TOPO_SE
TI000096	34.672973@37.155762	TOID_SE
TI000096	عمان	TOPO_SE
TI000096	22.195544@57.524414	TOID_SE
TI000096	العراق	TOPO_SE
TI000096	32.270413@45.032959	TOID_SE
TI000096	مصر	TOPO_SE
TI000096	30.08383@31.231384	TOID_SE
TI000096	فارس	TOPO_SE
TI000096	29.079216@52.756348	TOID_SE
TI000096	الطائف	TOPO_SE
TI000096	21.27028@40.41583	TOID_SE
TI000096	دمشق	TOPO_SE
TI000096	33.511603@36.306633	TOID_SE
TI000096	المدينة	TOPO_PR
TI000096	24.46861@39.61417	TOID_PR
TI000097	50	DEATH_AH
TI000097	القادسية	TOPO_PR
TI000097	34.072114@43.983078	TOID_PR
TI000098	50	DEATH_AH
TI000098	همذان	TOPO_SE
TI000098	34.79922@48.51456	TOID_SE
TI000098	الشام	TOPO_SE
TI000098	34.672973@37.155762	TOID_SE
TI000098	حمص	TOPO_PR
TI000098	34.72682@36.72339	TOID_PR
TI000099	50	DEATH_AH
TI000099	NoToponym	TOPO_NO
TI000100	50	DEATH_AH
TI000100	البصرة	TOPO_PR
TI000100	30.53302@47.79747	TOID_PR
TI000101	50	DEATH_AH
TI000101	تبوك	TOPO_PR
TI000101	28.38333@36.58333	TOID_PR
TI000102	50	DEATH_AH
TI000102	الكوفة	TOPO_PR
TI000102	32.03472@44.40333	TOID_PR
TI000103	50	DEATH_AH
TI000103	تبوك	TOPO_SE
TI000103	28.38333@36.58333	TOID_SE
TI000103	الاردن	TOPO_SE
TI000103	32.849827@35.338898	TOID_SE
TI000103	مصر	TOPO_SE
TI000103	30.08383@31.231384	TOID_SE
TI000103	المدينة	TOPO_PR
TI000103	24.46861@39.61417	TOID_PR
TI000103	الشام	TOPO_SE
TI000103	34.672973@37.155762	TOID_SE
TI000104	50	DEATH_AH
TI000104	NoToponym	TOPO_NO
TI000105	50	DEATH_AH
TI000105	NoToponym	TOPO_NO
TI000106	50	DEATH_AH
TI000106	NoToponym	TOPO_NO
TI000107	50	DEATH_AH
TI000107	المدينة	TOPO_PR
TI000107	24.46861@39.61417	TOID_PR
TI000108	50	DEATH_AH
TI000108	الكوفة	TOPO_SE
TI000108	32.03472@44.40333	TOID_SE
TI000108	العراق	TOPO_SE
TI000108	32.270413@45.032959	TOID_SE
TI000108	دمشق	TOPO_SE
TI000108	33.511603@36.306633	TOID_SE
TI000108	الطائف	TOPO_SE
TI000108	21.27028@40.41583	TOID_SE
TI000108	البحرين	TOPO_SE
TI000108	26.159383@49.592285	TOID_SE
TI000108	القادسية	TOPO_PR
TI000108	34.072114@43.983078	TOID_PR
TI000108	مصر	TOPO_SE
TI000108	30.08383@31.231384	TOID_SE
TI000108	الاسكندرية	TOPO_SE
TI000108	31.21564@29.95527	TOID_SE
TI000108	البصرة	TOPO_SE
