aRegion1	aRegion2	connID	Direction
Andalus_MR	Barqa_MR	Andalus_MR-to-Barqa_MR	rev
Andalus_MR	Central_Arabia_MR	Andalus_MR-to-Central_Arabia_MR	dir
Andalus_MR	Ifriqiyya_MR	Andalus_MR-to-Ifriqiyya_MR	dir
Andalus_MR	Iraq_MR	Andalus_MR-to-Iraq_MR	rev
Andalus_MR	Jazira_MR	Andalus_MR-to-Jazira_MR	rev
Andalus_MR	Maghrib_MR	Andalus_MR-to-Maghrib_MR	rev
Andalus_MR	Mawarannahr_MR	Andalus_MR-to-Mawarannahr_MR	rev
Andalus_MR	Misr_MR	Andalus_MR-to-Misr_MR	rev
Andalus_MR	NE_Iran_MR	Andalus_MR-to-NE_Iran_MR	rev
Andalus_MR	NW_Iran_MR	Andalus_MR-to-NW_Iran_MR	dir
Andalus_MR	Qabq_MR	Andalus_MR-to-Qabq_MR	rev
Andalus_MR	Rum_MR	Andalus_MR-to-Rum_MR	dir
Andalus_MR	SE_Arabia_MR	Andalus_MR-to-SE_Arabia_MR	rev
Andalus_MR	SE_Iran_MR	Andalus_MR-to-SE_Iran_MR	dir
Andalus_MR	Sham_MR	Andalus_MR-to-Sham_MR	rev
Andalus_MR	Siqiliyya_MR	Andalus_MR-to-Siqiliyya_MR	rev
Andalus_MR	SW_Arabia_MR	Andalus_MR-to-SW_Arabia_MR	rev
Andalus_MR	SW_Iran_MR	Andalus_MR-to-SW_Iran_MR	dir
Barqa_MR	Central_Arabia_MR	Barqa_MR-to-Central_Arabia_MR	rev
Barqa_MR	Ifriqiyya_MR	Barqa_MR-to-Ifriqiyya_MR	dir
Barqa_MR	Iraq_MR	Barqa_MR-to-Iraq_MR	dir
Barqa_MR	Jazira_MR	Barqa_MR-to-Jazira_MR	dir
Barqa_MR	Maghrib_MR	Barqa_MR-to-Maghrib_MR	rev
Barqa_MR	Mawarannahr_MR	Barqa_MR-to-Mawarannahr_MR	rev
Barqa_MR	Misr_MR	Barqa_MR-to-Misr_MR	dir
Barqa_MR	NE_Iran_MR	Barqa_MR-to-NE_Iran_MR	dir
Barqa_MR	NW_Iran_MR	Barqa_MR-to-NW_Iran_MR	dir
Barqa_MR	Qabq_MR	Barqa_MR-to-Qabq_MR	dir
Barqa_MR	Rum_MR	Barqa_MR-to-Rum_MR	dir
Barqa_MR	SE_Arabia_MR	Barqa_MR-to-SE_Arabia_MR	rev
Barqa_MR	SE_Iran_MR	Barqa_MR-to-SE_Iran_MR	rev
Barqa_MR	Sham_MR	Barqa_MR-to-Sham_MR	rev
Barqa_MR	Siqiliyya_MR	Barqa_MR-to-Siqiliyya_MR	rev
Barqa_MR	SW_Arabia_MR	Barqa_MR-to-SW_Arabia_MR	rev
Barqa_MR	SW_Iran_MR	Barqa_MR-to-SW_Iran_MR	dir
Central_Arabia_MR	Ifriqiyya_MR	Central_Arabia_MR-to-Ifriqiyya_MR	rev
Central_Arabia_MR	Iraq_MR	Central_Arabia_MR-to-Iraq_MR	dir
Central_Arabia_MR	Jazira_MR	Central_Arabia_MR-to-Jazira_MR	dir
Central_Arabia_MR	Maghrib_MR	Central_Arabia_MR-to-Maghrib_MR	rev
Central_Arabia_MR	Mawarannahr_MR	Central_Arabia_MR-to-Mawarannahr_MR	dir
Central_Arabia_MR	Misr_MR	Central_Arabia_MR-to-Misr_MR	rev
Central_Arabia_MR	NE_Iran_MR	Central_Arabia_MR-to-NE_Iran_MR	dir
Central_Arabia_MR	NW_Iran_MR	Central_Arabia_MR-to-NW_Iran_MR	dir
Central_Arabia_MR	Qabq_MR	Central_Arabia_MR-to-Qabq_MR	dir
Central_Arabia_MR	Rum_MR	Central_Arabia_MR-to-Rum_MR	rev
Central_Arabia_MR	SE_Arabia_MR	Central_Arabia_MR-to-SE_Arabia_MR	rev
Central_Arabia_MR	SE_Iran_MR	Central_Arabia_MR-to-SE_Iran_MR	rev
Central_Arabia_MR	Sham_MR	Central_Arabia_MR-to-Sham_MR	rev
Central_Arabia_MR	Siqiliyya_MR	Central_Arabia_MR-to-Siqiliyya_MR	dir
Central_Arabia_MR	SW_Arabia_MR	Central_Arabia_MR-to-SW_Arabia_MR	rev
Central_Arabia_MR	SW_Iran_MR	Central_Arabia_MR-to-SW_Iran_MR	dir
Ifriqiyya_MR	Iraq_MR	Ifriqiyya_MR-to-Iraq_MR	dir
Ifriqiyya_MR	Jazira_MR	Ifriqiyya_MR-to-Jazira_MR	dir
Ifriqiyya_MR	Maghrib_MR	Ifriqiyya_MR-to-Maghrib_MR	rev
Ifriqiyya_MR	Mawarannahr_MR	Ifriqiyya_MR-to-Mawarannahr_MR	rev
Ifriqiyya_MR	Misr_MR	Ifriqiyya_MR-to-Misr_MR	dir
Ifriqiyya_MR	NE_Iran_MR	Ifriqiyya_MR-to-NE_Iran_MR	dir
Ifriqiyya_MR	NW_Iran_MR	Ifriqiyya_MR-to-NW_Iran_MR	rev
Ifriqiyya_MR	Qabq_MR	Ifriqiyya_MR-to-Qabq_MR	dir
Ifriqiyya_MR	Rum_MR	Ifriqiyya_MR-to-Rum_MR	rev
Ifriqiyya_MR	SE_Arabia_MR	Ifriqiyya_MR-to-SE_Arabia_MR	rev
Ifriqiyya_MR	SE_Iran_MR	Ifriqiyya_MR-to-SE_Iran_MR	rev
Ifriqiyya_MR	Sham_MR	Ifriqiyya_MR-to-Sham_MR	rev
Ifriqiyya_MR	Siqiliyya_MR	Ifriqiyya_MR-to-Siqiliyya_MR	rev
Ifriqiyya_MR	SW_Arabia_MR	Ifriqiyya_MR-to-SW_Arabia_MR	rev
Ifriqiyya_MR	SW_Iran_MR	Ifriqiyya_MR-to-SW_Iran_MR	dir
Iraq_MR	Jazira_MR	Iraq_MR-to-Jazira_MR	rev
Iraq_MR	Maghrib_MR	Iraq_MR-to-Maghrib_MR	rev
Iraq_MR	Mawarannahr_MR	Iraq_MR-to-Mawarannahr_MR	rev
Iraq_MR	Misr_MR	Iraq_MR-to-Misr_MR	rev
Iraq_MR	NE_Iran_MR	Iraq_MR-to-NE_Iran_MR	dir
Iraq_MR	NW_Iran_MR	Iraq_MR-to-NW_Iran_MR	dir
Iraq_MR	Qabq_MR	Iraq_MR-to-Qabq_MR	dir
Iraq_MR	Rum_MR	Iraq_MR-to-Rum_MR	dir
Iraq_MR	SE_Arabia_MR	Iraq_MR-to-SE_Arabia_MR	dir
Iraq_MR	SE_Iran_MR	Iraq_MR-to-SE_Iran_MR	dir
