aRegion	LON	LAT	Label
Andalus_MR	-4.0521	39.88926	al-Andalus
Barqa_MR	22.1	31.4	Barqaŧ
Central_Arabia_MR	41.65725	22.78726	al-Ḥijāz+
Ifriqiyya_MR	7.8	34.9	Ifriqiyyā
Iraq_MR	45.96	31.9	al-ʿIrāq
Jazira_MR	42.05	36.41	al-Jazīraŧ
Maghrib_MR	-4.52149	32.30201	al-Maġrib
Mawarannahr_MR	65.61472	40.1917	Mā warāʾ al-nahr
Misr_MR	30.52	29.23	Miṣr
NE_Iran_MR	60.61524	35.17917	Ḫurāsān
NW_Iran_MR	51.50831	35.62754	al-Jibāl+
Qabq_MR	45.79	41.33	al-Riḥāb
Rum_MR	33.57	39.21	al-Rūm
SE_Arabia_MR	55.67	22.01	ʿUmān+
SE_Iran_MR	65.61472	28.62665	Sījīstān+
Sham_MR	36.30199	33.51843	al-Šām
Siqiliyya_MR	14.5	37.57	Ṣiqiliyyaŧ
SW_Arabia_MR	45.68	15.82	al-Yaman
SW_Iran_MR	54.00	29.43	Fārs+
